problem_id,track,n_attempts,x_ac,k50,k90,auc_logk,label_AC,label_WA,label_TLE,label_RE,label_MLE,label_CE,label_OTHER,pass_at_1,pass_at_2,pass_at_3,pass_at_4,pass_at_5,pass_at_6,pass_at_7,pass_at_8,pass_at_9,pass_at_10,pass_at_11,pass_at_12,pass_at_13,pass_at_14,pass_at_15,pass_at_16,pass_at_17,pass_at_18,pass_at_19,pass_at_20,pass_at_21,pass_at_22,pass_at_23,pass_at_24,pass_at_25,pass_at_26,pass_at_27,pass_at_28,pass_at_29,pass_at_30,pass_at_31,pass_at_32,pass_at_33,pass_at_34,pass_at_35,pass_at_36,pass_at_37,pass_at_38,pass_at_39,pass_at_40,pass_at_41,pass_at_42,pass_at_43,pass_at_44,pass_at_45,pass_at_46,pass_at_47,pass_at_48,pass_at_49,pass_at_50,pass_at_51,pass_at_52,pass_at_53,pass_at_54,pass_at_55,pass_at_56,pass_at_57,pass_at_58,pass_at_59,pass_at_60,pass_at_61,pass_at_62,pass_at_63,pass_at_64,pass_at_65,pass_at_66,pass_at_67,pass_at_68,pass_at_69,pass_at_70,pass_at_71,pass_at_72,pass_at_73,pass_at_74,pass_at_75,pass_at_76,pass_at_77,pass_at_78,pass_at_79,pass_at_80,pass_at_81,pass_at_82,pass_at_83,pass_at_84,pass_at_85,pass_at_86,pass_at_87,pass_at_88,pass_at_89,pass_at_90,pass_at_91,pass_at_92,pass_at_93,pass_at_94,pass_at_95,pass_at_96,pass_at_97,pass_at_98,pass_at_99,pass_at_100,model,w,z_B,z_T,z_H,z_WA
ABC392,CoT,100,72,1.0,2.0,4.457496363748777,72,28,0,0,0,0,0,0.72,0.9236363636363636,0.9797402597402596,0.9947784174588298,0.9986946043647076,0.9996839568461924,0.9999260324533642,0.9999832976507596,0.999996369054513,0.9999992418905028,0.9999998483781004,0.9999999710385136,0.9999999947342753,0.9999999990921165,0.999999999852205,0.999999999977396,0.9999999999967708,0.999999999999572,0.9999999999999478,0.9999999999999942,0.9999999999999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Llama-3.1-8B-Instruct,1.0,0.794637198494669,-1.1099218058382023,-0.5431687708553892,-0.3188383909564422
ABC393,CoT,100,58,1.0,3.0,4.328775562119577,58,41,0,1,0,0,0,0.5800000000000001,0.826060606060606,0.929004329004329,0.9714553487749364,0.9887010755567456,0.9955993662694692,0.9983146509117116,0.999365728837741,0.9997655954400348,0.999914996148584,0.9999697764083856,0.9999894726815725,0.9999964111414452,0.999998803713815,0.9999996105114748,0.9999998762801154,0.99999996170575,0.9999999884655874,0.9999999966240743,0.9999999990414038,0.999999999736386,0.9999999999299254,0.9999999999820322,0.9999999999955664,0.99999999999895,0.999999999999762,0.9999999999999484,0.9999999999999896,0.999999999999998,0.9999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Llama-3.1-8B-Instruct,0.8235294117647058,1.36193605744027,-0.7344672051885421,-0.5534928910634889,-0.5928937061567103
ABC394,CoT,100,69,1.0,2.0,4.433855285936973,69,31,0,0,0,0,0,0.69,0.906060606060606,0.9722016079158936,0.9919757218726292,0.9977431717766768,0.9993823417494064,0.999835729188672,0.9999576075325604,0.99998940188314,0.999997437817902,0.9999994021575104,0.9999998656533732,0.999999970993342,0.9999999939986224,0.9999999988136812,0.999999999776693,0.9999999999601238,0.999999999993274,0.9999999999989336,0.999999999999842,0.9999999999999782,0.9999999999999972,0.9999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Llama-3.1-8B-Instruct,0.3529411764705882,-1.2563043817886357,-0.3879553586104252,-1.0678501636637183,-1.0377128216981006
ABC395,CoT,100,98,1.0,1.0,4.598127743244244,98,2,0,0,0,0,0,0.98,0.9997979797979798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Llama-3.1-8B-Instruct,1.5294117647058822,0.1305660300150847,-0.4854086704712708,0.7091350055960471,0.5914581430981675
ABC396,CoT,100,98,1.0,1.0,4.598127743244244,98,2,0,0,0,0,0,0.98,0.9997979797979798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Llama-3.1-8B-Instruct,1.5294117647058822,0.6380459914389404,-0.4852233923094055,0.8455814594161053,0.7882666893697639
ABC397,CoT,100,100,1.0,1.0,4.605170185988092,100,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Llama-3.1-8B-Instruct,1.0588235294117647,-0.0872427431051071,-0.5569527267011065,0.2216684647006315,0.3497461375626247
ABC398,CoT,100,0,,,0.0,0,100,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Llama-3.1-8B-Instruct,0.5882352941176471,-0.8045514370852237,-0.4757746795435722,-0.5962299468086405,-0.3834140766780491
ABC399,CoT,100,100,1.0,1.0,4.605170185988092,100,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Llama-3.1-8B-Instruct,0.3529411764705882,-0.7526398731784819,-0.3480303529009059,-1.039410813927689,-0.9701789064339884
ABC400,CoT,100,50,1.0,4.0,4.229479639623548,50,50,0,0,0,0,0,0.5,0.7525252525252525,0.8787878787878788,0.9412683536394876,0.9718577527855878,0.9866694618458048,0.9937601736299512,0.9971149189901924,0.9986828977998704,0.999406580327414,0.9997362579232952,0.9998844276293092,0.99995009374902,0.9999787755024568,0.9999911153266098,0.9999963416050748,0.9999985192211016,0.9999994112565824,0.9999997702464712,0.9999999120696372,0.999999967026114,0.999999987895662,0.9999999956548532,0.999999998476377,0.9999999994787606,0.9999999998262536,0.9999999999436496,0.999999999982246,0.9999999999945752,0.9999999999983956,0.9999999999995416,0.9999999999998738,0.9999999999999666,0.9999999999999916,0.999999999999998,0.9999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Llama-3.1-8B-Instruct,0.7647058823529411,0.6219212471892703,-0.3308256141650119,-0.7412838357324284,-0.6131206006535906
ABC401,CoT,100,100,1.0,1.0,4.605170185988092,100,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Llama-3.1-8B-Instruct,0.6470588235294118,-0.4823465436940855,-0.623540230219966,-0.1053300357044863,-0.3211063669390298
